StateCounty,TotalPop,Men,Women,Citizen,MeanCommute,Employed,Hispanic_,White_,Black_,Native_,Asian_,Pacific_,Poverty_,ChildPoverty_,Professional_,Service_,Office_,Construction_,Production_,Drive_,Carpool_,Transit_,Walk_,OtherTransp_,WorkAtHome_,PrivateWork_,PublicWork_,SelfEmployed_,FamilyWork_,Unemployment_,income_weighted,per_dem,per_gop,clinton_win
Alabama_Autauga,55221,0.484326615,0.515673385,0.737491172,26.50016479,0.434363738,0.026113254,0.757881965,0.185273718,0.004237518,0.009597798,0.000162981,0.129135655,0.187084624,0.327900618,0.171710038,0.242842397,0.085692037,0.171565165,0.875083754,0.087828906,0.00095978,0.004708354,0.013056627,0.018362579,0.737364408,0.208235997,0.054327158,0,0.077361873,24974.4997,0.23956855,0.734357893,FALSE
Alabama_Baldwin,195121,0.488486631,0.511513369,0.756940565,26.32217855,0.440511272,0.044931094,0.831022801,0.094966713,0.005591402,0.006642032,0,0.134244904,0.19485345,0.327299471,0.179509125,0.271057446,0.108963156,0.113211802,0.845977624,0.089580312,0.001265881,0.0102193,0.014437195,0.038514563,0.812818712,0.124486857,0.059086413,0.003633643,0.07589137,27316.83516,0.195653098,0.77351472,FALSE
Alabama_Barbour,26932,0.538281598,0.461718402,0.769122234,24.51828308,0.319211347,0.046338928,0.462312491,0.466916679,0.001893658,0.004344274,0,0.265037873,0.435578494,0.261213426,0.164636863,0.232808555,0.108272687,0.23317986,0.833283826,0.110574781,0.004938363,0.019753453,0.016226051,0.015037873,0.715914154,0.212089707,0.071476311,0.000891133,0.17521907,16824.21643,0.466602502,0.522714148,FALSE
Alabama_Bibb,22604,0.534109007,0.465890993,0.773978057,28.71439126,0.366926208,0.022119979,0.745000885,0.214209874,0.004291276,0.000973279,0,0.166032561,0.271987259,0.215846753,0.179525748,0.174659352,0.192443815,0.237435852,0.834365599,0.131569634,0.005043355,0.006237834,0.015616705,0.007299593,0.767430543,0.162360644,0.066315696,0.003937356,0.081622722,18430.99031,0.214220393,0.769661637,FALSE
Alabama_Blount,57710,0.494056489,0.505943511,0.733754982,34.84489343,0.384491423,0.086328193,0.878547912,0.015196673,0.002911107,0.00149021,0,0.167198059,0.268566973,0.285288512,0.139438572,0.238381563,0.136024952,0.201039681,0.848501126,0.112805406,0.003621556,0.008386761,0.004193381,0.022665049,0.818229076,0.135869,0.042263039,0.003552244,0.07698839,20532.27467,0.084699023,0.898518752,FALSE
Alabama_Bullock,10678,0.530061809,0.469938191,0.754542049,28.63106387,0.361959168,0.044483986,0.221951676,0.707248548,0.011706312,0.00196666,0,0.245083349,0.372916276,0.195448586,0.149278891,0.201723169,0.196010489,0.257257913,0.747799213,0.148342386,0.007679341,0.046637947,0.018261847,0.030998314,0.790972092,0.15658363,0.052725229,0,0.178966099,17579.5664,0.750904063,0.242288875,TRUE
Alabama_Butler,20354,0.466836985,0.533163015,0.765500639,24.56754446,0.383855753,0.011840424,0.533310406,0.438488749,0.000687825,0.003832171,0,0.254004127,0.372899676,0.268399332,0.170973764,0.222265894,0.099489044,0.239117618,0.845091874,0.126068586,0,0.007320428,0.005306082,0.016065638,0.7795028,0.157168124,0.06136386,0.002014346,0.112606859,18389.82446,0.427864134,0.563154865,FALSE
Alabama_Calhoun,116648,0.48242576,0.51757424,0.759652973,23.99626936,0.406359303,0.034848433,0.730265414,0.203209656,0.00192888,0.008589946,6.00E-05,0.210470818,0.319619711,0.267162746,0.180037377,0.241898704,0.104219532,0.206673068,0.851030451,0.096263974,0.002228928,0.012070503,0.012190522,0.026292778,0.744264797,0.204255538,0.050450929,0.0010716,0.12386839,21372.55619,0.278558764,0.692396994,FALSE
Alabama_Chambers,34079,0.477067989,0.522932011,0.77648992,25.17045981,0.401684322,0.004430881,0.573080196,0.402828722,0.001613897,0.007658675,0.000264092,0.215968778,0.371988615,0.233017401,0.146864638,0.258663693,0.113090173,0.248011972,0.848411045,0.121775874,0.001907333,0.003491886,0.003550574,0.020804601,0.853194049,0.11904692,0.027553625,0.000117374,0.091728044,21070.99375,0.418275512,0.56633764,FALSE
Alabama_Cherokee,26008,0.498884958,0.501115042,0.79206398,27.35058444,0.390456783,0.015149185,0.917179329,0.047562289,0.005536758,0.002729929,0.000192249,0.192286989,0.284604737,0.295908951,0.159489388,0.194901569,0.134766226,0.214856967,0.83943402,0.120693633,0.002268533,0.005152261,0.007113196,0.025069209,0.732620732,0.182789911,0.079667795,0.004806213,0.079821593,21810.50035,0.1451014,0.838712749,FALSE
